location,season,area_ha,rainfall_mm,temperature_c,soil_ph,fertilizer_kg,yield_t_ha
Nueva Ecija,Wet,2.0,360,26.5,6.2,180,5.4
Nueva Ecija,Dry,2.0,120,28.5,6.4,200,5.8
Isabela,Wet,1.5,410,26.0,5.9,160,5.1
Isabela,Dry,1.5,140,28.8,6.0,190,5.3
Cebu,Wet,1.2,330,27.2,6.6,170,5.0
Cebu,Dry,1.2,95,29.5,6.7,210,5.2
Davao,Wet,2.3,420,26.8,6.1,175,5.6
Davao,Dry,2.3,160,28.9,6.3,205,5.7
Laguna,Wet,1.8,350,26.3,5.8,165,4.9
Laguna,Dry,1.8,130,28.1,6.0,185,5.1
Pangasinan,Wet,2.5,300,27.0,6.5,150,5.3
Pangasinan,Dry,2.5,110,29.0,6.6,190,5.6
Tarlac,Wet,2.1,280,27.1,6.3,155,5.0
Tarlac,Dry,2.1,105,29.2,6.4,185,5.3
Bicol,Wet,1.7,420,26.0,5.6,160,4.8
Bicol,Dry,1.7,150,28.4,5.8,190,5.0
Iloilo,Wet,2.0,390,26.6,6.2,170,5.5
Iloilo,Dry,2.0,145,28.6,6.3,200,5.7
Zamboanga,Wet,1.4,350,26.9,6.1,160,5.2
Zamboanga,Dry,1.4,120,29.1,6.2,195,5.4
Cagayan,Wet,2.4,410,26.2,6.0,175,5.6
Cagayan,Dry,2.4,135,28.9,6.1,205,5.8
Leyte,Wet,1.6,370,26.7,6.3,165,5.1
Leyte,Dry,1.6,115,28.8,6.4,195,5.3
South Cotabato,Wet,2.2,360,26.5,6.5,170,5.7
South Cotabato,Dry,2.2,125,28.7,6.6,205,5.9
Bulacan,Wet,1.9,320,26.9,6.4,160,5.2
Bulacan,Dry,1.9,108,29.3,6.5,190,5.4
Negros,Wet,1.5,340,27.0,6.1,155,5.0
Negros,Dry,1.5,100,29.4,6.2,185,5.2
Sorsogon,Wet,1.3,400,26.1,5.9,165,4.9
Sorsogon,Dry,1.3,140,28.5,6.0,195,5.2
Aurora,Wet,1.8,380,26.4,6.2,170,5.3
Aurora,Dry,1.8,118,28.6,6.3,200,5.6
Batangas,Wet,1.6,300,27.3,6.5,150,5.2
Batangas,Dry,1.6,112,29.2,6.6,190,5.5
Bataan,Wet,1.4,310,27.1,6.3,155,5.1
Bataan,Dry,1.4,102,29.4,6.4,185,5.3
Capiz,Wet,1.7,365,26.6,6.1,160,5.2
Capiz,Dry,1.7,128,28.9,6.2,195,5.4

